N,TAG,ID_YPS,SPP,ALT,ID,Genus,Species,Family
640,90,PEA0040,HYBAPR,362,PEA.00.140.90,Hybanthus,Hybanthus prunifolius,Violaceae
641,180,PEA0041,FARAOC,461,PEA.00.140.180,Faramea,Faramea occidentalis,Rubiaceae
642,181,PEA0042,PRI1AS,653,PEA.00.140.181,Prionostemma,Prionostemma asperum,Celastraceae
643,185,PEA0043,PRI1AS,462,PEA.00.140.185,Prionostemma,Prionostemma asperum,Celastraceae
644,90,PEA0044,CHR2CA,193,PEA.00.170.90,Chrysophyllum,Chrysophyllum cainito,Sapotaceae
645,96,PEA0045,FARAOC,200,PEA.00.175.96,Faramea,Faramea occidentalis,Rubiaceae
646,86,PEA0046,DES2PA,201,PEA.00.195.86,Desmopsis,Desmopsis panamensis,Annonaceae
647,15,PEA0047,MAR2PA,265,PEA.05.05.15,Maripa,Maripa panamensis,Convolvulaceae
648,186,PEA0048,MAR2PA,482,PEA.05.05.186,Maripa,Maripa panamensis,Convolvulaceae
649,177,PEA0049,LACIAG,301,PEA.05.15.177,Lacistema,Lacistema aggregatum,Lacistemataceae
650,83,PEA0050,DOLIOL,474,PEA.05.35.83,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
651,194,PEA0051,LACIAG,871,PEA.05.35.194,Lacistema,Lacistema aggregatum,Lacistemataceae
652,7,PEA0052,PAULTU,429,PEA.05.40.7,Paullinia,Paullinia turbacensis,Sapindaceae
653,88,PEA0053,DOLIOL,286,PEA.05.45.88,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
654,76,PEA0054,GUSTSU,246,PEA.05.50.76,Gustavia,Gustavia superba,Lecythidaceae
655,191,PEA0055,PAULTU,241,PEA.05.50.191,Paullinia,Paullinia turbacensis,Sapindaceae
656,6,PEA0056,PAULTU,277,PEA.05.60.6,Paullinia,Paullinia turbacensis,Sapindaceae
657,40,PEA0057,EUGEOE,214,PEA.05.65.40,Eugenia,Eugenia oerstediana,Myrtaceae
658,42,PEA0058,GUSTSU,293,PEA.05.70.42,Gustavia,Gustavia superba,Lecythidaceae
659,163,PEA0059,HYBAPR,219,PEA.05.90.163,Hybanthus,Hybanthus prunifolius,Violaceae
660,153,PEA0060,FARAOC,151,PEA.05.105.153,Faramea,Faramea occidentalis,Rubiaceae
661,196,PEA0061,PRI1AS,247,PEA.05.115.196,Prionostemma,Prionostemma asperum,Celastraceae
662,7,PEA0062,EUGEOE,225,PEA.05.125.7,Eugenia,Eugenia oerstediana,Myrtaceae
663,8,PEA0063,DOLIMA,665,PEA.05.125.8,Doliocarpus,Doliocarpus major,Dilleniaceae
664,11,PEA0064,DOLIMA,249,PEA.05.125.11,Doliocarpus,Doliocarpus major,Dilleniaceae
665,12,PEA0065,DOLIMA,285,PEA.05.125.12,Doliocarpus,Doliocarpus major,Dilleniaceae
666,23,PEA0066,DOLIMA,319,PEA.05.125.23,Doliocarpus,Doliocarpus major,Dilleniaceae
667,25,PEA0067,DOLIMA,226,PEA.05.125.25,Doliocarpus,Doliocarpus major,Dilleniaceae
668,159,PEA0068,DOLIMA,563,PEA.05.125.159,Doliocarpus,Doliocarpus major,Dilleniaceae
669,172,PEA0069,MOURMY,655,PEA.05.125.172,Mouriri,Mouriri myrtilloides,Melastomataceae
670,186,PEA0070,DOLIMA,281,PEA.05.125.186,Doliocarpus,Doliocarpus major,Dilleniaceae
671,12,PEA0071,PRI1AS,105,PEA.05.130.12,Prionostemma,Prionostemma asperum,Celastraceae
672,19,PEA0072,PRI1AS,311,PEA.05.130.19,Prionostemma,Prionostemma asperum,Celastraceae
673,21,PEA0073,FARAOC,215,PEA.05.135.21,Faramea,Faramea occidentalis,Rubiaceae
674,81,PEA0074,PRI1AS,312,PEA.05.135.81,Prionostemma,Prionostemma asperum,Celastraceae
675,86,PEA0075,FARAOC,474,PEA.05.135.86,Faramea,Faramea occidentalis,Rubiaceae
676,157,PEA0076,MOURMY,971,PEA.05.135.157,Mouriri,Mouriri myrtilloides,Melastomataceae
677,76,PEA0077,PROTTE,519,PEA.05.140.76,Protium,Protium tenuifolium,Burseraceae
678,66,PEA0078,PRI1AS,821,PEA.05.145.66,Prionostemma,Prionostemma asperum,Celastraceae
679,185,PEA0079,MOURMY,391,PEA.05.145.185,Mouriri,Mouriri myrtilloides,Melastomataceae
680,12,PEA0080,FARAOC,291,PEA.05.150.12,Faramea,Faramea occidentalis,Rubiaceae
681,53,PEA0081,FARAOC,297,PEA.05.150.53,Faramea,Faramea occidentalis,Rubiaceae
682,64,PEA0082,FARAOC,371,PEA.05.150.64,Faramea,Faramea occidentalis,Rubiaceae
683,65,PEA0083,CHR2CA,320,PEA.05.150.65,Chrysophyllum,Chrysophyllum cainito,Sapotaceae
684,68,PEA0084,RANDAR,352,PEA.05.150.68,Randia,Randia armata,Rubiaceae
685,5,PEA0085,RANDAR,251,PEA.05.155.5,Randia,Randia armata,Rubiaceae
686,8,PEA0086,RANDAR,365,PEA.05.155.8,Randia,Randia armata,Rubiaceae
687,13,PEA0087,RANDAR,412,PEA.05.155.13,Randia,Randia armata,Rubiaceae
688,193,PEA0088,PRI1AS,216,PEA.05.160.193,Prionostemma,Prionostemma asperum,Celastraceae
689,148,PEA0089,SWARS2,315,PEA.05.170.148,Swartzia,Swartzia simplex var. continentalis,Fabaceae
690,9,PEA0090,FARAOC,240,PEA.05.185.9,Faramea,Faramea occidentalis,Rubiaceae
691,23,PEA0091,FARAOC,345,PEA.05.185.23,Faramea,Faramea occidentalis,Rubiaceae
692,43,PEA0092,EUGEOE,235,PEA.05.185.43,Eugenia,Eugenia oerstediana,Myrtaceae
693,51,PEA0093,ACALDI,235,PEA.05.185.51,Acalypha,Acalypha diversifolia,Euphorbiaceae
694,40,PEA0094,LACIAG,211,PEA.10.00.40,Lacistema,Lacistema aggregatum,Lacistemataceae
695,32,PEA0095,GUSTSU,234,PEA.10.15.32,Gustavia,Gustavia superba,Lecythidaceae
696,130,PEA0096,GUSTSU,203,PEA.10.15.130,Gustavia,Gustavia superba,Lecythidaceae
697,33,PEA0097,GUSTSU,212,PEA.10.35.33,Gustavia,Gustavia superba,Lecythidaceae
698,132,PEA0098,GUSTSU,206,PEA.10.35.132,Gustavia,Gustavia superba,Lecythidaceae
699,137,PEA0099,GUSTSU,253,PEA.10.35.137,Gustavia,Gustavia superba,Lecythidaceae
700,146,PEA0100,CHR2CA,306,PEA.10.35.146,Chrysophyllum,Chrysophyllum cainito,Sapotaceae
701,142,PEA0101,HYBAPR,341,PEA.10.40.142,Hybanthus,Hybanthus prunifolius,Violaceae
702,129,PEA0102,MAR2PA,442,PEA.10.45.129,Maripa,Maripa panamensis,Convolvulaceae
703,143,PEA0103,DOLIOL,309,PEA.10.45.143,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
704,131,PEA0104,CAPPFR,679,PEA.10.60.131,Capparidastrum,Capparidastrum frondosum,Capparaceae
705,138,PEA0105,DOLIOL,204,PEA.10.60.138,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
706,50,PEA0106,DES2PA,249,PEA.10.70.50,Desmopsis,Desmopsis panamensis,Annonaceae
707,144,PEA0107,EUGEOE,262,PEA.10.90.144,Eugenia,Eugenia oerstediana,Myrtaceae
708,117,PEA0108,PAULTU,149,PEA.10.95.117,Paullinia,Paullinia turbacensis,Sapindaceae
709,123,PEA0109,CAPPFR,272,PEA.10.95.123,Capparidastrum,Capparidastrum frondosum,Capparaceae
710,136,PEA0110,PAULTU,104,PEA.10.95.136,Paullinia,Paullinia turbacensis,Sapindaceae
711,135,PEA0111,ACALDI,234,PEA.10.100.135,Acalypha,Acalypha diversifolia,Euphorbiaceae
712,106,PEA0112,DOLIMA,47,PEA.10.105.106,Doliocarpus,Doliocarpus major,Dilleniaceae
713,108,PEA0113,DOLIMA,763,PEA.10.105.108,Doliocarpus,Doliocarpus major,Dilleniaceae
714,114,PEA0114,DOLIMA,546,PEA.10.105.114,Doliocarpus,Doliocarpus major,Dilleniaceae
715,115,PEA0115,DOLIMA,356,PEA.10.105.115,Doliocarpus,Doliocarpus major,Dilleniaceae
716,121,PEA0116,DOLIMA,409,PEA.10.105.121,Doliocarpus,Doliocarpus major,Dilleniaceae
717,127,PEA0117,DOLIMA,362,PEA.10.105.127,Doliocarpus,Doliocarpus major,Dilleniaceae
718,124,PEA0118,FARAOC,269,PEA.10.115.124,Faramea,Faramea occidentalis,Rubiaceae
719,194,PEA0119,FARAOC,269,PEA.10.115.194,Faramea,Faramea occidentalis,Rubiaceae
720,26,PEA0120,PROTTE,237,PEA.10.120.26,Protium,Protium tenuifolium,Burseraceae
721,176,PEA0121,DOLIOL,507,PEA.10.120.176,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
722,177,PEA0122,CAPPFR,428,PEA.10.120.177,Capparidastrum,Capparidastrum frondosum,Capparaceae
723,180,PEA0123,PROTTE,252,PEA.10.120.180,Protium,Protium tenuifolium,Burseraceae
724,182,PEA0124,DOLIOL,276,PEA.10.120.182,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
725,188,PEA0125,DOLIOL,522,PEA.10.120.188,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
726,195,PEA0126,PRI1AS,291,PEA.10.120.195,Prionostemma,Prionostemma asperum,Celastraceae
727,200,PEA0127,EUGEOE,399,PEA.10.120.200,Eugenia,Eugenia oerstediana,Myrtaceae
728,190,PEA0128,EUGEOE,343,PEA.10.125.190,Eugenia,Eugenia oerstediana,Myrtaceae
729,192,PEA0129,DOLIOL,302,PEA.10.125.192,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
730,5,PEA0130,PROTTE,401,PEA.10.130.5,Protium,Protium tenuifolium,Burseraceae
731,182,PEA0131,PROTTE,266,PEA.10.130.182,Protium,Protium tenuifolium,Burseraceae
732,196,PEA0132,PAULTU,432,PEA.10.130.196,Paullinia,Paullinia turbacensis,Sapindaceae
733,4,PEA0133,CHR2CA,272,PEA.10.135.4,Chrysophyllum,Chrysophyllum cainito,Sapotaceae
734,2,PEA0134,PRI1AS,444,PEA.10.145.2,Prionostemma,Prionostemma asperum,Celastraceae
735,200,PEA0135,SWARS2,511,PEA.10.150.200,Swartzia,Swartzia simplex var. continentalis,Fabaceae
736,180,PEA0136,HYBAPR,937,PEA.10.170.180,Hybanthus,Hybanthus prunifolius,Violaceae
737,196,PEA0137,HYBAPR,398,PEA.10.170.196,Hybanthus,Hybanthus prunifolius,Violaceae
738,9,PEA0138,SWARS2,982,PEA.15.00.9,Swartzia,Swartzia simplex var. continentalis,Fabaceae
739,92,PEA0139,GUSTSU,200,PEA.15.05.92,Gustavia,Gustavia superba,Lecythidaceae
740,2,PEA0140,MAR2PA,351,PEA.15.10.2,Maripa,Maripa panamensis,Convolvulaceae
741,1,PEA0141,LACIAG,321,PEA.15.15.1,Lacistema,Lacistema aggregatum,Lacistemataceae
742,4,PEA0142,MAR2PA,352,PEA.15.15.4,Maripa,Maripa panamensis,Convolvulaceae
743,5,PEA0143,FARAOC,281,PEA.15.15.5,Faramea,Faramea occidentalis,Rubiaceae
744,11,PEA0144,SWARS2,160,PEA.15.15.11,Swartzia,Swartzia simplex var. continentalis,Fabaceae
745,13,PEA0145,FARAOC,432,PEA.15.15.13,Faramea,Faramea occidentalis,Rubiaceae
746,15,PEA0146,SWARS2,255,PEA.15.15.15,Swartzia,Swartzia simplex var. continentalis,Fabaceae
747,19,PEA0147,DES2PA,423,PEA.15.15.19,Desmopsis,Desmopsis panamensis,Annonaceae
748,3,PEA0148,CHR2CA,46,PEA.15.30.3,Chrysophyllum,Chrysophyllum cainito,Sapotaceae
749,10,PEA0149,SWARS2,218,PEA.15.30.10,Swartzia,Swartzia simplex var. continentalis,Fabaceae
750,180,PEA0150,MOURMY,201,PEA.15.30.180,Mouriri,Mouriri myrtilloides,Melastomataceae
751,6,PEA0151,FARAOC,572,PEA.15.45.6,Faramea,Faramea occidentalis,Rubiaceae
752,20,PEA0152,GUSTSU,401,PEA.15.45.20,Gustavia,Gustavia superba,Lecythidaceae
753,23,PEA0153,FARAOC,270,PEA.15.45.23,Faramea,Faramea occidentalis,Rubiaceae
754,7,PEA0154,EUGEOE,481,PEA.15.50.7,Eugenia,Eugenia oerstediana,Myrtaceae
755,18,PEA0155,GUSTSU,362,PEA.15.50.18,Gustavia,Gustavia superba,Lecythidaceae
756,21,PEA0156,HYBAPR,315,PEA.15.50.21,Hybanthus,Hybanthus prunifolius,Violaceae
757,87,PEA0157,SWARS2,246,PEA.15.55.87,Swartzia,Swartzia simplex var. continentalis,Fabaceae
758,15,PEA0158,GUSTSU,262,PEA.15.65.15,Gustavia,Gustavia superba,Lecythidaceae
759,77,PEA0159,PAULTU,301,PEA.15.65.77,Paullinia,Paullinia turbacensis,Sapindaceae
760,80,PEA0160,GUSTSU,161,PEA.15.65.80,Gustavia,Gustavia superba,Lecythidaceae
761,19,PEA0161,PROTTE,251,PEA.15.70.19,Protium,Protium tenuifolium,Burseraceae
762,100,PEA0162,HYBAPR,362,PEA.15.85.100,Hybanthus,Hybanthus prunifolius,Violaceae
763,91,PEA0163,SWARS2,461,PEA.15.95.91,Swartzia,Swartzia simplex var. continentalis,Fabaceae
764,174,PEA0164,PRI1AS,266,PEA.15.125.174,Prionostemma,Prionostemma asperum,Celastraceae
765,165,PEA0165,EUGEOE,310,PEA.15.130.165,Eugenia,Eugenia oerstediana,Myrtaceae
766,171,PEA0166,DOLIOL,375,PEA.15.130.171,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
767,160,PEA0167,RANDAR,341,PEA.15.145.160,Randia,Randia armata,Rubiaceae
768,163,PEA0168,RANDAR,401,PEA.15.145.163,Randia,Randia armata,Rubiaceae
769,28,PEA0169,DOLIOL,542,PEA.15.160.28,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
770,29,PEA0170,DOLIOL,441,PEA.15.160.29,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
771,31,PEA0171,DOLIOL,522,PEA.15.160.31,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
772,34,PEA0172,DOLIOL,542,PEA.15.160.34,Doliocarpus,Doliocarpus olivaceus,Dilleniaceae
773,41,PEA0173,HYBAPR,278,PEA.15.160.41,Hybanthus,Hybanthus prunifolius,Violaceae
774,44,PEA0174,HYBAPR,270,PEA.15.160.44,Hybanthus,Hybanthus prunifolius,Violaceae
